2024-05-04 13:43:33.920332 - Username: admin, IP: 127.0.0.1, Action: visited home page
2024-05-04 13:43:37.822848 - Username: admin, IP: 127.0.0.1, Action: visited home page
2024-05-04 14:09:48.422666 - Username: admin, IP: 127.0.0.1, Action: signed in.
2024-05-04 14:09:48.778111 - Username: admin, IP: 127.0.0.1, Action: visited home page.
2024-05-04 14:11:34.913430 - Username: admin, IP: 127.0.0.1, Action: visited home page.
2024-05-04 14:12:00.147801 - Username: admin, IP: 127.0.0.1, Action: visited home page.
2024-05-04 14:12:13.445795 - Username: admin, IP: 127.0.0.1, Action: sent notification.
2024-05-04 15:42:08.765877 - Username: admin, IP: 127.0.0.1, Action: sent notification.
2024-05-04 15:42:19.636434 - Username: admin, IP: 127.0.0.1, Action: served screenshot.
2024-05-04 15:43:57.577236 - Username: Princess, IP: 127.0.0.1, Action: signed in.
2024-05-04 15:43:57.642716 - Username: admin, IP: 127.0.0.1, Action: visited home page.
2024-05-04 15:44:28.323428 - Username: Princess, IP: 127.0.0.1, Action: visited home page.
2024-05-04 15:49:30.832787 - Username: Princess, IP: 127.0.0.1, Action: uploaded image.
2024-05-04 16:01:06.379963 - Username: admin, IP: 192.168.56.1, Action: signed in.
2024-05-04 16:01:06.447608 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-04 16:01:18.244911 - Username: admin, IP: 192.168.56.1, Action: sent notification.
2024-05-04 16:02:21.362977 - Username: admin, IP: 192.168.56.1, Action: uploaded image.
2024-05-04 16:08:18.320076 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-04 16:08:28.395704 - Username: admin, IP: 192.168.56.1, Action: sent notification.
2024-05-04 16:08:33.506782 - Username: admin, IP: 192.168.56.1, Action: sent notification.
2024-05-04 16:08:38.643795 - Username: admin, IP: 192.168.56.1, Action: sent notification.
2024-05-04 16:08:43.776043 - Username: admin, IP: 192.168.56.1, Action: sent notification.
2024-05-04 16:08:57.144620 - Username: admin, IP: 192.168.56.1, Action: sent notification.
2024-05-05 09:26:25.896467 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:26:52.962130 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:29:34.155929 - Username: admin, IP: 192.168.56.1, Action: served screenshot.
2024-05-05 09:33:24.309845 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:33:25.229483 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:34:03.597994 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:34:11.412063 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:34:12.324229 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:34:12.754981 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:35:31.685033 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:35:47.323521 - Username: admin, IP: 192.168.56.1, Action: logged out.
2024-05-05 09:35:49.590069 - Username: admin, IP: 192.168.56.1, Action: signed in.
2024-05-05 09:35:49.665207 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:39:46.248272 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:39:47.094316 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:39:47.518036 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:39:47.983442 - Username: admin, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:39:53.902665 - Username: admin, IP: 192.168.56.1, Action: served screenshot.
2024-05-05 09:39:57.694219 - Username: admin, IP: 192.168.56.1, Action: logged out.
2024-05-05 09:40:06.085643 - Username: Princess, IP: 192.168.56.1, Action: signed in.
2024-05-05 09:40:06.186685 - Username: Princess, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:40:18.184347 - Username: Princess, IP: 192.168.56.1, Action: sent notification.
2024-05-05 09:40:22.260531 - Username: Princess, IP: 192.168.56.1, Action: served screenshot.
2024-05-05 09:41:12.149768 - Username: Princess, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:41:12.955113 - Username: Princess, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:41:20.947132 - Username: Princess, IP: 192.168.56.1, Action: served screenshot.
2024-05-05 09:42:08.667170 - Username: Princess, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:52:16.976259 - Username: Princess, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:53:33.504368 - Username: Princess, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:58:39.023578 - Username: Princess, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:58:41.194719 - Username: Princess, IP: 192.168.56.1, Action: visited home page.
2024-05-05 09:58:42.284274 - Username: Princess, IP: 192.168.56.1, Action: visited home page.
